src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.10,192.168.100.15,50468,80,6,2024-09-24 23:16:09,91.85334038734436,22.786324277090475,0.1415299644539781,0.07620844239829591,0.0653215220556822,7,6,513,1580,77,66,73.28571428571429,4.712120714991612,1262,54,263.3333333333333,446.6388051011939,1262,54,161.0,317.897177377553,101058.61538461539,140,120,20,4,7.654445032278697,33.80534386634827,6.67572021484375e-06,11.453882506950965,91.85334038734436,38.99818396568298,0.038034915924072266,15.308890064557394,15.249737756158002,54.93448567390442,30.36916971206665,6.580352783203125e-05,10.986897134780884,10.21336317793786,4,1,0,0,1,1,1,5,11,0,0,0.8571428571428571,161.0,64240,508,30.730032682418823,0.17478084564208984,15.452406764030457,15.277625918388367,33.80534386634827,5.728257417678833,20.424661080042522,11.500117011847754,0,0,0,0,0,0,73.28571428571429,263.3333333333333,0,7,6,513,1580
192.168.56.10,192.168.100.15,50472,80,6,2024-09-24 23:16:09,91.85292196273804,21.948131392247166,0.13064363923956648,0.07620878955641378,0.054434849683152695,7,5,502,1514,77,66,71.71428571428571,5.034574339058885,1262,54,302.8,479.62251823699853,1262,54,168.0,329.9138776509207,108843.16666666667,140,100,20,3,8.350265632976186,36.8802707195282,6.67572021484375e-06,12.499454587409337,91.85292196273804,36.8802707195282,0.03292083740234375,15.308820327123007,13.41293505856628,54.93969917297363,39.00319051742554,4.363059997558594e-05,13.734924793243408,14.958587298360424,3,1,0,0,1,1,1,4,10,0,0,0.7142857142857143,168.0,502,508,0,0,0,0,36.8802707195282,21.745604515075684,29.31293761730194,7.567333102226257,0,0,0,0,0,0,71.71428571428571,302.8,0,7,5,502,1514
192.168.100.15,192.168.56.10,80,50558,6,2024-09-24 23:16:09,91.85002827644348,25.476312244099038,0.15242238094760108,0.0653238775489719,0.08709850339862919,6,8,1580,760,1262,54,263.3333333333333,446.6388051011939,234,66,95.0,52.91502622129181,1262,54,167.14285714285714,306.64890513485966,94033.55102040817,120,160,20,1,7.065386790495652,36.87752079963684,6.9141387939453125e-06,10.697318585604354,91.82378029823303,39.00951623916626,5.650520324707031e-05,18.364756059646606,16.271209128623095,91.84997653961182,36.87752079963684,0.02617478370666504,13.121425219944545,11.534940779673963,1,6,0,0,1,0,1,7,13,0,0,1.3333333333333333,167.14285714285714,509,501,0,0,0,0,36.87752079963684,14.987005233764648,25.932263016700745,10.945257782936096,0,0,0,0,0,0,263.3333333333333,95.0,0,6,8,1580,760
192.168.56.10,192.168.100.15,50646,80,6,2024-09-24 23:16:09,92.85125207901001,21.14134118869633,0.118469054037524,0.06461948402046763,0.05384957001705636,6,5,449,1514,86,66,74.83333333333333,7.009913614937697,1262,54,302.8,479.62251823699853,1262,54,178.45454545454547,342.7451647126247,117474.24793388425,120,100,20,4,9.285125207901,39.97585344314575,6.4373016357421875e-06,14.91310452403391,92.85125207901001,39.97610688209534,0.06441259384155273,18.570250415802,16.503890620765983,55.912846088409424,39.97585344314575,0.0001423358917236328,13.978211522102356,15.369564211297673,4,1,0,0,1,0,1,5,10,0,0,0.8333333333333334,178.45454545454547,502,508,0,0,0,0,36.8738796710968,32.84264373779297,34.858261704444885,2.0156179666519165,0,0,0,0,0,0,74.83333333333333,302.8,0,6,5,449,1514
192.168.56.10,192.168.100.15,50780,80,6,2024-09-24 23:16:09,92.84607863426208,22.38112832083762,0.11847565521136373,0.06462308466074386,0.05385257055061988,6,5,564,1514,201,66,94.0,48.104053883222775,1262,54,302.8,479.62251823699853,1262,54,188.9090909090909,341.51732407687325,116634.08264462807,120,100,20,4,9.284607863426208,39.985968351364136,4.76837158203125e-06,14.914824552520274,92.84607863426208,39.986032009124756,0.054512977600097656,18.569215726852416,16.507488423028384,55.92304754257202,39.985968351364136,4.076957702636719e-05,13.980761885643005,15.373874672032917,4,1,0,0,1,0,1,5,10,0,0,0.8333333333333334,188.9090909090909,502,508,0,0,0,0,36.868492603302,32.8537073135376,34.8610999584198,2.007392644882202,0,0,0,0,0,0,94.0,302.8,0,6,5,564,1514
192.168.100.15,192.168.56.10,80,50842,6,2024-09-24 23:16:09,92.84481477737427,22.542992896465467,0.14001858941904016,0.0646239643472493,0.07539462507179086,6,7,1588,505,1262,54,264.6666666666667,446.0592885356036,77,66,72.14285714285714,5.329930887479322,1262,54,161.0,317.897177377553,101058.61538461539,120,140,20,1,7.737067898114522,40.01825785636902,4.5299530029296875e-06,11.956917682057883,92.822824716568,40.01825785636902,4.315376281738281e-05,18.5645649433136,16.52784680211941,79.26034259796143,40.01837944984436,0.02191615104675293,13.210057099660238,14.156268314288617,1,4,0,0,1,1,1,5,12,0,0,1.1666666666666667,161.0,65160,501,0,0,0,0,37.65738129615784,9.698496580123901,20.31345001856486,12.366194933796146,0,0,0,0,0,0,264.6666666666667,72.14285714285714,0,6,7,1588,505
192.168.56.10,192.168.100.15,50850,80,6,2024-09-24 23:16:09,92.84436917304993,22.726203202126694,0.11847783659876475,0.06462427450841714,0.05385356209034761,6,5,596,1514,234,66,99.33333333333333,60.41431029887612,1262,54,302.8,479.62251823699853,1262,54,191.8181818181818,341.7859027312056,116817.60330578516,120,100,20,4,9.284436917304992,40.01862049102783,4.76837158203125e-06,14.92334286002872,92.84436917304993,40.01867127418518,0.02147674560546875,18.568873834609985,16.523064020856577,55.95576024055481,40.01862049102783,3.910064697265625e-05,13.988940060138702,15.38768087356755,4,1,0,0,1,0,1,5,10,0,0,0.8333333333333334,191.8181818181818,502,508,0,0,0,0,36.86711764335632,32.88646364212036,34.87679064273834,1.990327000617981,0,0,0,0,0,0,99.33333333333333,302.8,0,6,5,596,1514
192.168.56.10,192.168.100.15,50936,80,6,2024-09-24 23:16:09,92.83536958694458,21.27421917731821,0.11848932200025332,0.06463053927286544,0.05385878272738787,6,5,461,1514,99,66,76.83333333333333,11.006311320732703,1262,54,302.8,479.62251823699853,1262,54,179.54545454545453,342.47398405144025,117288.42975206613,120,100,20,4,9.283536958694459,40.0262508392334,4.5299530029296875e-06,14.923794552507104,92.83536958694458,40.026310443878174,0.013501167297363281,18.567073917388917,16.524895208234778,55.96350622177124,40.0262508392334,7.390975952148438e-05,13.99087655544281,15.39089559595505,4,1,0,0,1,0,1,5,10,0,0,0.8333333333333334,179.54545454545453,502,508,0,0,0,0,36.85837531089783,32.89418816566467,34.87628173828125,1.9820935726165771,0,0,0,0,0,0,76.83333333333333,302.8,0,6,5,461,1514
192.168.56.10,192.168.100.15,50980,80,6,2024-09-24 23:16:09,92.83359169960022,22.35182289094752,0.1400355169071411,0.08617570271208683,0.05385981419505427,8,5,561,1514,77,66,70.125,5.3253521010351985,1262,54,302.8,479.62251823699853,1262,54,159.6153846153846,318.287856763832,101307.15976331363,160,100,20,3,7.736132641633351,40.03299856185913,5.0067901611328125e-06,13.989447729330509,92.83359169960022,40.03308129310608,0.006536722183227539,13.26194167137146,16.1929519766727,55.97029161453247,40.03299856185913,2.8848648071289062e-05,13.992572903633118,15.39375503229551,3,1,0,0,1,0,1,4,12,0,0,0.625,159.6153846153846,502,508,0,0,0,0,37.752031564712524,36.856709003448486,37.304370284080505,0.44766128063201904,0,0,0,0,0,0,70.125,302.8,0,8,5,561,1514
192.168.100.15,192.168.56.10,80,36336,6,2024-09-24 23:15:58,104.80598855018616,20.504553506224077,0.1049558346060795,0.03816575803857436,0.06679007656750513,4,7,1468,681,1262,66,367.0,516.7388121672302,234,66,97.28571428571429,56.213151195667194,1262,66,195.36363636363637,340.5031765243027,115942.41322314047,80,140,20,1,10.480598855018616,83.35859274864197,5.4836273193359375e-06,24.739151843051864,83.38333892822266,83.38317680358887,6.461143493652344e-05,27.79444630940755,39.30716828998932,104.78141808509827,83.35859274864197,4.887580871582031e-05,17.463569680849712,29.968949851255655,1,4,0,0,0,2,0,5,10,0,0,1.75,195.36363636363637,508,502,0,0,0,0,83.35859274864197,9.007254362106323,46.182923555374146,37.17566919326782,0,0,0,0,0,0,367.0,97.28571428571429,0,4,7,1468,681
